Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
pesti,Infectious Diseases,89,Cluster 3,Cluster 3,0,0,0,14,14,7,75,132,3,3,1,75,3,0,0,0,0,0,Stable
trichomona,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,7,7,4,88,63,1,1,1,88,1,0,0,0,0,0,Stable
fasciolopsiasi,Infectious Diseases,0,Cluster 1,Cluster 5,0,0,0,14,14,7,75,130,3,3,1,75,3,0,0,0,0,0,Transfer
streptococcu,Infectious Diseases,0,Cluster 4,Cluster 6,0,0,1,56,57,28,2,521,12,10,5,2,11,0,0,0,0,1,Stable
vector-born,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,14,14,7,75,131,3,3,1,75,3,0,0,0,0,0,Stable
omskhemorrhag,Infectious Diseases,0,Cluster 1,Cluster 8,0,0,1,56,56,27,3,511,11,10,5,3,11,0,0,0,0,1,Stable
aureu,Infectious Diseases,0,Cluster 1,Cluster 9,0,0,0,7,7,4,88,64,1,1,1,88,1,0,0,0,0,0,Stable
pneumococcal polysaccharid,Infectious Diseases,0,Cluster 5,Cluster 1,0,0,0,6,6,4,88,66,1,1,1,88,1,0,0,0,0,0,Stable
hensela,Infectious Diseases,2680,Cluster 1,Cluster 2,0,0,0,14,14,7,75,131,3,3,1,75,3,0,0,0,0,0,Transfer
bird flu,Infectious Diseases,19,Cluster 2,Cluster 4,0,0,1,56,56,27,3,511,11,10,5,3,11,0,0,0,0,1,Stable
sid,Neoplasm,2,Cluster 1,Cluster 1,0,0,1,51,51,26,3,494,11,10,5,3,14,0,0,0,0,1,Stable
nonpathogen,Neoplasm,0,Cluster 1,Cluster 2,0,0,0,7,5,4,87,66,1,1,1,87,2,0,0,0,0,0,Stable
hypothermia,Neoplasm,180,Cluster 1,Cluster 1,0,0,0,13,10,7,76,126,3,2,1,76,4,0,0,0,0,0,Stable
cancer,Neoplasm,0,Cluster 1,Cluster 2,0,0,0,13,13,7,76,127,3,2,1,76,4,0,0,0,0,0,Stable
kernicteru,Neoplasm,38,Cluster 2,Cluster 3,0,0,1,55,55,25,3,502,11,10,5,3,14,0,0,0,0,1,Transfer
sleep disord,Neoplasm,846,Cluster 1,Cluster 1,0,0,0,7,5,4,87,66,1,1,1,87,2,0,0,0,0,0,Stable
tourette syndrom,Neoplasm,0,Cluster 1,Cluster 3,0,0,1,53,53,27,4,510,11,10,5,4,13,1,0,0,0,1,Stable
subjectid,Neoplasm,0,Cluster 1,Cluster 1,0,0,0,14,14,7,75,131,3,3,1,75,3,0,0,0,0,0,Stable
winter storm,Neoplasm,0,Cluster 2,Cluster 7,0,0,1,54,53,27,3,510,11,10,5,3,13,1,0,0,0,1,Stable
foodborn,Neoplasm,0,Cluster 3,Cluster 1,0,0,0,14,14,7,75,132,3,3,1,75,3,0,0,0,0,0,Stable
follicul,Neoplasm,10,Cluster 1,Cluster6,0,0,1,56,56,27,3,511,12,10,5,3,11,0,0,0,0,1,Transfer
back belt,Neoplasm,0,Cluster 1,Cluster 1,0,0,0,7,7,4,88,63,1,1,1,88,1,0,0,0,0,0,Stable
cardiovascular,Neoplasm,0,Cluster 1,Cluster 2,0,0,0,14,14,7,75,128,3,3,1,75,3,0,0,0,0,0,Stable
injuri,Neoplasm,0,Cluster 1,Cluster 1,0,0,1,56,56,27,3,520,12,10,5,3,11,0,0,0,0,1,Stable
mouse and rat,Neoplasm,0,Cluster 2,Cluster 1,0,0,0,7,7,4,88,63,1,1,1,88,1,0,0,0,0,0,Stable
fx,Neoplasm,759,Cluster 1,Cluster 2,0,0,1,57,56,21,3,480,9,8,4,3,16,1,0,0,0,1,Stable
enceph,Immune system,0,Cluster 1,Cluster 3,0,0,1,57,56,21,3,480,9,8,4,3,16,1,0,0,0,1,Transfer
motor vehicle injuri,Immune system,2511,Cluster 1,Cluster 4,0,0,0,8,8,3,86,67,1,1,1,86,2,0,0,0,0,0,Stable
aortic,Immune system,0,Cluster 3,Cluster 5,0,0,1,53,51,28,2,519,17,5,7,2,14,1,0,0,0,1,Stable
difficil,Immune system,0,Cluster 1,Cluster 6,0,0,0,7,7,4,88,67,2,1,1,88,2,0,0,0,0,0,Stable
cerebr,Immune system,461,Cluster 1,Cluster 7,0,0,0,6,6,4,88,64,1,1,1,88,2,0,0,0,0,0,Stable
hiv/aid,Immune system,0,Cluster 4,Cluster 8,0,0,0,14,14,7,75,131,3,3,1,75,3,0,0,0,0,0,Stable
vancomycin,Immune system,0,Cluster 1,Cluster 9,0,0,0,6,6,4,88,63,1,1,1,88,2,0,0,0,0,0,Transfer
thoracic aortic aneurysm,Immune system,0,Cluster 1,Cluster 1,0,0,0,8,8,3,86,67,1,1,1,86,2,0,0,0,0,0,Stable
newborn jaundic,Immune system,24,Cluster 1,Cluster 2,0,0,0,17,12,5,74,125,2,2,1,74,3,0,0,0,0,0,Stable
birth defect,Immune system,4,Cluster 5,Cluster 4,0,0,1,62,44,19,3,471,9,6,4,3,12,1,0,0,0,1,Stable
childhood overweight,Immune system,0,Cluster 1,Cluster 1,0,0,0,9,6,3,87,65,1,1,1,87,2,0,0,0,0,0,Stable
atrial,Immune system,316,Cluster 2,Cluster 2,0,0,0,14,11,7,75,128,3,2,1,75,3,0,0,0,0,0,Transfer
thalassemia,Immune system,0,Cluster 1,Cluster 1,0,0,1,56,44,26,3,502,11,8,6,3,13,1,0,0,0,1,Transfer
sporothrix schenckii,Immune system,213,Cluster 1,Cluster 2,0,0,0,7,6,3,88,65,1,1,1,88,2,0,0,0,0,0,Stable
hyperact,Immune system,17,Cluster 1,Cluster 3,0,0,1,56,44,26,3,503,11,8,6,3,13,1,0,0,0,1,Transfer
childhood experi,Immune system,0,Cluster 1,Cluster 1,0,0,0,15,12,7,74,132,3,2,1,74,3,0,0,0,0,0,Stable
cold,Immune system,7,Cluster 2,Cluster 3,0,0,0,7,6,3,88,64,1,1,1,88,2,0,0,0,0,0,Stable
x syndrom,Immune system,0,Cluster 1,Cluster 1,0,0,0,7,5,3,88,66,1,1,1,88,1,0,0,0,0,0,Stable
sclerosi,Immune system,0,Cluster 1,Cluster 7,0,0,0,7,5,3,88,66,1,1,1,88,1,0,0,0,0,0,Stable
lujo hemorrhag,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,14,10,7,76,127,3,2,1,76,3,0,0,0,0,0,Stable
"noise, environment",Metabolic Diseases,61,Cluster 2,Cluster6,0,0,1,57,39,26,3,509,12,9,6,3,11,0,0,0,0,1,Transfer
mental health,Metabolic Diseases,586,Cluster 3,Cluster 1,0,0,0,7,5,3,88,66,1,1,1,88,1,0,0,0,0,0,Stable
born,Metabolic Diseases,10,Cluster 1,Cluster 2,0,0,0,14,14,7,76,130,3,3,1,76,3,0,0,0,0,0,Stable
colon canc,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,56,56,28,2,524,13,11,4,2,12,0,0,0,0,0,Stable
guillain-barré,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,6,6,4,88,63,2,1,1,88,1,0,0,0,0,0,Stable
myalgic,Metabolic Diseases,251,Cluster 1,Cluster 2,0,0,0,12,12,7,76,126,3,3,1,76,4,0,0,0,0,0,Stable
epstein-barr viru,Metabolic Diseases,0,Cluster 2,Cluster 3,0,0,1,52,52,27,2,508,12,11,4,2,14,0,0,0,0,1,Transfer
lymphocyt,Metabolic Diseases,0,Cluster 1,Cluster 4,0,0,0,6,6,4,88,63,2,1,1,88,2,0,0,0,0,0,Stable
asept,Metabolic Diseases,0,Cluster 1,Cluster 5,0,0,0,14,14,7,76,130,3,3,1,76,3,0,0,0,0,0,Stable
clotting disord,Metabolic Diseases,11,Cluster 1,Cluster 6,0,0,0,56,56,28,2,524,13,11,4,2,12,0,0,0,0,0,Stable
loa loa,Metabolic Diseases,0,Cluster 3,Cluster 7,0,0,0,6,6,4,88,63,2,1,1,88,1,0,0,0,0,0,Stable
pediculus humanus corpori,Metabolic Diseases,0,Cluster 1,Cluster 8,0,0,0,12,12,7,76,126,3,3,1,76,4,0,0,0,0,0,Stable
seizure disord,Metabolic Diseases,100,Cluster 1,Cluster 9,0,0,1,52,52,27,2,508,12,11,4,2,14,0,0,0,0,1,Transfer
under weightmelioidosi,Metabolic Diseases,0,Cluster 4,Cluster 1,0,0,0,6,6,4,88,63,2,1,1,88,2,0,0,0,0,0,Stable
adhd,Metabolic Diseases,97,Cluster 1,Cluster 2,2.5,0,0,74,13,10,5,426,3,4,2,5,10,0,0,3,0,0,Stable
childhood obes,Metabolic Diseases,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,897,39,45,11,0,0,0,0,0,0,0,Stable
septic,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,89,5,1,5,373,1,0,0,5,2,0,1,0,0,0,Stable
aneurysm,Metabolic Diseases,0,Cluster 5,Cluster 2,0,0,0,0,0,55,42,509,34,16,2,42,3,0,0,0,0,0,Stable
whitmore diseas,Metabolic Diseases,473,Cluster 1,Cluster 1,0,0,0,0,0,55,43,499,34,16,2,43,3,0,0,0,0,0,Transfer
kidney diseas,Metabolic Diseases,388,Cluster 2,Cluster 2,0,0,0,7,6,14,74,160,2,3,8,74,2,0,1,0,0,0,Stable
brain injuri,Metabolic Diseases,135,Cluster 1,Cluster 3,0,0,0,16,3,8,73,140,1,3,3,73,1,0,1,0,0,0,Stable
erythematosu,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,20,5,3,75,107,0,1,1,75,1,0,1,0,0,0,Stable
clot,Metabolic Diseases,73,Cluster 1,Cluster 3,0,0,0,0,0,100,0,902,50,42,4,0,0,0,0,0,0,0,Stable
ovarian canc,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,900,30,45,21,0,0,0,0,0,0,0,Stable
congenital hearing loss,Metabolic Diseases,0,Cluster 2,Cluster 7,0,0,0,0,0,100,0,882,33,49,13,0,0,0,0,0,0,0,Transfer
hearing loss,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,900,28,57,11,0,0,0,0,0,0,0,Stable
bronchiti,Metabolic Diseases,0,Cluster 1,Cluster6,0,0,0,0,0,100,0,902,47,41,8,0,0,0,0,0,0,0,Stable
lymphocytic choriomening,Metabolic Diseases,56,Cluster 1,Cluster 1,0,0,0,0,0,100,0,900,29,43,23,0,0,0,0,0,0,0,Stable
enterobius vermiculari,Metabolic Diseases,1,Cluster 2,Cluster 2,0,0,0,0,0,100,0,902,23,47,23,0,0,0,0,0,0,0,Stable
gout,Metabolic Diseases,0,Cluster 3,Cluster 1,0,0,0,0,0,100,0,902,21,57,16,0,0,0,0,0,0,0,Stable
sudden infant death syndrom,Metabolic Diseases,11,Cluster 1,Cluster 1,0,0,0,0,0,100,0,902,30,27,34,0,0,0,0,0,0,0,Transfer
epstein-barrearly hearing detection and intervent,Metabolic Diseases,327,Cluster 1,Cluster 2,0,0,0,0,0,100,0,902,96,0,0,0,0,0,0,0,0,0,Stable
diabet,Metabolic Diseases,0,Cluster 1,Cluster 3,0,0,0,0,0,100,0,902,20,29,40,0,0,0,0,0,0,0,Stable
latex allergi,Metabolic Diseases,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,902,30,34,32,0,0,0,0,0,0,0,Stable
japanese enceph,Metabolic Diseases,5273,Cluster 2,Cluster 5,0,0,0,0,0,100,0,902,39,45,11,0,0,0,0,0,0,0,Stable
tourett,Metabolic Diseases,0,Cluster 1,Cluster 6,0,0,0,1,0,48,50,424,9,16,20,50,0,0,1,0,0,0,Stable
infertil,Metabolic Diseases,5,Cluster 1,Cluster 7,0,0,0,1,0,81,17,717,15,39,24,17,0,0,1,0,0,0,Transfer
afm,Metabolic Diseases,0,Cluster 1,Cluster 8,0,0,0,1,0,80,16,730,12,45,21,16,0,0,1,0,0,0,Stable
congenital heart defect,Metabolic Diseases,311,Cluster 3,Cluster 9,0,0,0,0,0,80,16,714,20,47,9,16,2,0,1,0,0,0,Stable
attention deficit,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,1,0,80,17,714,16,37,22,17,0,0,1,0,0,0,Stable
brainerd,Metabolic Diseases,0,Cluster 1,Cluster 2,0,0,0,1,0,68,30,606,17,25,24,30,0,0,1,0,0,0,Stable
lupu,Metabolic Diseases,0,Cluster 4,Cluster 4,0,0,0,2,0,70,26,628,14,33,20,26,0,0,1,0,0,0,Stable
liver diseas,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,1,0,81,17,717,15,39,24,17,0,0,1,0,0,0,Transfer
 rat control,Metabolic Diseases,0,Cluster 1,Cluster 2,0,0,0,1,0,81,17,717,15,39,24,17,0,0,1,0,0,0,Stable
dissect,Metabolic Diseases,0,Cluster 1,Cluster 1,0,0,0,1,0,81,17,717,15,39,24,17,0,0,0,0,0,0,Stable
powassan viru,Neurodevelopmmental,1,Cluster 5,Cluster 2,0,0,0,1,0,81,17,717,15,39,24,17,0,0,0,0,0,0,Stable
epilepsi,Neurodevelopmmental,2,Cluster 1,Cluster 3,0,0,0,1,0,80,17,713,14,36,27,17,0,0,1,0,0,0,Stable
mouth diseas,Neurodevelopmmental,1825,Cluster 2,Cluster 1,0,0,0,1,0,80,17,713,14,36,27,17,0,0,1,0,0,0,Stable
musculoskelet,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,1,0,80,17,713,14,36,27,17,0,0,0,0,0,0,Transfer
granulomat,Neurodevelopmmental,86,Cluster 1,Cluster 1,0,0,0,1,0,81,16,719,17,39,21,16,1,0,1,0,0,0,Stable
arthriti,Neurodevelopmmental,0,Cluster 1,Cluster 7,0,0,0,0,0,71,28,628,23,37,8,28,0,0,1,0,0,0,Stable
cardiovascular health,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,1,0,70,28,630,13,40,14,28,0,0,1,0,0,0,Stable
hansen diseas,Neurodevelopmmental,2,Cluster 2,Cluster6,0,0,0,2,0,35,59,330,7,10,17,59,2,0,1,0,0,0,Stable
vulvar canc,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,6,0,39,54,357,5,19,12,54,0,0,1,0,0,0,Stable
pe,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,2,0,36,60,337,10,14,10,60,0,0,1,0,0,0,Transfer
sappinia pedata,Neurodevelopmmental,88,Cluster 1,Cluster 1,0,0,0,0,0,71,28,605,20,25,18,28,0,0,1,0,0,0,Stable
lockjaw,Neurodevelopmmental,0,Cluster 2,Cluster 1,0,0,0,0,0,65,34,583,17,26,18,34,0,0,1,0,0,0,Stable
jaundic,Neurodevelopmmental,0,Cluster 3,Cluster 2,0,0,0,7,1,2,88,47,0,0,1,88,0,0,1,0,0,0,Stable
dientamoeba fragili,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,0,0,17,81,158,2,8,4,81,0,0,1,0,0,0,Stable
overweight,Neurodevelopmmental,0,Cluster 1,Cluster 4,0,0,0,0,0,59,39,535,10,20,25,39,1,0,1,0,0,0,Stable
obstructive pulmonari,Neurodevelopmmental,16,Cluster 1,Cluster 5,0,0,0,1,0,81,16,718,27,32,18,16,1,0,0,0,0,0,Transfer
ckd,Neurodevelopmmental,164,Cluster 1,Cluster 6,0,0,0,1,0,80,17,714,14,30,24,17,0,0,1,0,0,0,Stable
african trypanosomiasi,Neurodevelopmmental,0,Cluster 2,Cluster 7,0,0,0,0,0,20,79,175,3,7,8,79,0,0,1,0,0,0,Stable
genetics colorect,Neurodevelopmmental,0,Cluster 1,Cluster 8,0,0,0,0,0,20,79,175,3,7,8,79,0,0,0,0,0,0,Stable
marine toxin,Neurodevelopmmental,29,Cluster 1,Cluster 9,0,0,0,1,0,60,37,537,11,30,17,37,0,0,1,0,0,0,Stable
cdi,Neurodevelopmmental,3,Cluster 1,Cluster 1,0,0,0,1,0,60,37,537,11,30,17,37,0,0,1,0,0,0,Stable
flavorings-related lung,Neurodevelopmmental,0,Cluster 3,Cluster 2,0,0,0,0,0,59,39,526,10,20,25,39,1,0,1,0,0,0,Transfer
later,Neurodevelopmmental,8,Cluster 1,Cluster 4,0,0,0,1,0,60,38,533,12,19,26,38,0,0,0,0,0,0,Stable
occupational canc,Neurodevelopmmental,3,Cluster 1,Cluster 1,0,0,0,1,0,60,38,542,12,19,26,38,0,0,0,0,0,0,Stable
bifida,Neurodevelopmmental,0,Cluster 4,Cluster 2,0,0,0,1,0,60,38,533,12,19,26,38,0,0,1,0,0,0,Stable
hemorrhag,Neurodevelopmmental,104,Cluster 1,Cluster 1,0,0,0,1,0,60,38,533,12,19,26,38,0,0,1,0,0,0,Stable
heart geneticshead lic,Neurodevelopmmental,23,Cluster 1,Cluster 2,0,0,0,1,0,38,60,339,9,14,13,60,1,0,1,0,0,0,Stable
attention deficit/hyperactivity disord,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,3,0,3,91,43,0,1,2,91,2,0,1,0,0,0,Transfer
fall,Neurodevelopmmental,0,Cluster 5,Cluster 1,0,0,0,4,0,3,91,44,2,0,0,91,0,0,1,0,0,0,Stable
micronutri,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,17,17,52,30,534,8,17,24,30,0,0,1,0,0,0,Stable
oral canc,Neurodevelopmmental,18,Cluster 2,Cluster 1,0,0,0,1,0,38,60,339,9,14,12,60,1,0,1,0,0,0,Stable
inflammatori,Neurodevelopmmental,0,Cluster 1,Cluster 7,0,0,0,1,0,50,46,450,17,20,11,46,1,0,1,0,0,0,Stable
ebola viru,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,1,0,40,56,362,7,18,13,56,1,0,1,0,0,0,Transfer
abdomin,Neurodevelopmmental,0,Cluster 1,Cluster6,0,0,0,0,0,78,22,688,11,18,46,22,0,0,0,0,0,0,Transfer
afib,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,16,4,19,63,231,3,5,11,63,0,0,0,0,0,0,Death
multiple organ dysfunction syndrom,Neurodevelopmmental,15,Cluster 2,Cluster 2,1.1,0,0,3,1,32,56,322,3,5,17,56,6,0,1,1,0,0,Stable
arteri,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,7,4,33,56,333,5,8,20,56,1,0,1,0,0,0,Stable
throat,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,0,0,99,0,889,45,42,8,0,0,0,1,0,0,0,Stable
"noise, recr",Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,21,0,79,0,792,12,56,10,0,0,0,0,0,0,0,Transfer
genetics ment,Neurodevelopmmental,0,Cluster 2,Cluster 3,0,0,0,0,0,100,0,884,8,70,17,0,0,0,0,0,0,0,Stable
omsk hemorrhag,Neurodevelopmmental,0,Cluster 3,Cluster 4,0,0,0,0,0,100,0,884,6,60,29,0,0,0,0,0,0,0,Stable
ulvar canc,Neurodevelopmmental,0,Cluster 1,Cluster 5,0,0,0,0,0,100,0,884,12,71,13,0,0,0,0,0,0,0,Stable
cwd,Neurodevelopmmental,0,Cluster 1,Cluster 6,0,0,0,0,0,100,0,884,81,11,2,0,0,0,0,0,0,0,Stable
fibromyalgia,Neurodevelopmmental,0,Cluster 1,Cluster 7,0,0,0,0,0,100,0,884,7,63,28,0,0,0,0,0,0,0,Stable
amyotroph,Neurodevelopmmental,10,Cluster 1,Cluster 8,0,0,0,0,0,100,0,884,60,33,3,0,0,0,0,0,0,0,Transfer
recreational water il,Neurodevelopmmental,431,Cluster 2,Cluster 9,0,0,0,0,0,100,0,862,87,6,2,0,0,0,0,0,0,0,Stable
occupational stress,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,5,37,53,0,0,0,0,0,0,0,Stable
itch,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,8,59,29,0,0,0,0,0,0,0,Stable
lymphat,Neurodevelopmmental,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,13,28,55,0,0,0,0,0,0,0,Stable
methicillin,Neurodevelopmmental,0,Cluster 3,Cluster 1,0,0,0,0,0,100,0,884,14,48,33,0,0,0,0,0,0,0,Transfer
polysaccharid,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,26,18,52,0,0,0,0,0,0,0,Transfer
enter,Neurodevelopmmental,3,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,53,39,4,0,0,0,0,0,0,0,Stable
embol,Neurodevelopmmental,1,Cluster 4,Cluster 2,0,0,0,0,0,100,0,884,9,20,66,0,0,0,0,0,0,0,Transfer
alzheim,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,10,16,70,0,0,0,0,0,0,0,Stable
german measl,Neurodevelopmmental,31,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,7,78,10,0,0,0,0,0,0,0,Stable
pregnanc,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,10,71,14,0,0,0,0,0,0,0,Stable
sickle cel,Neurodevelopmmental,0,Cluster 5,Cluster 1,0,0,0,0,0,100,0,884,8,61,26,0,0,0,0,0,0,0,Stable
vision impair,Neurodevelopmmental,2116,Cluster 1,Cluster 7,0,0,0,0,0,100,0,884,8,62,26,0,0,0,0,0,0,0,Stable
rwi,Neurodevelopmmental,2,Cluster 2,Cluster 1,0,0,0,0,0,100,0,900,7,73,16,0,0,0,0,0,0,0,Transfer
skin condit,Neurodevelopmmental,9,Cluster 1,Cluster6,0,0,0,0,0,100,0,880,94,0,0,0,0,0,0,0,0,0,Stable
exserohilum rostratum,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,87,6,1,0,0,0,0,0,0,0,Stable
skin canc,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,86,6,2,0,0,0,0,0,0,0,Stable
pedestrian injuri,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,9,57,29,0,0,0,0,0,0,0,Stable
flaccid myel,Neurodevelopmmental,4,Cluster 2,Cluster 1,0,0,0,0,0,100,0,880,71,20,3,0,0,0,0,0,0,0,Stable
high blood pressur,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,89,5,0,0,0,0,0,0,0,0,Transfer
swimmer,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,93,1,0,0,0,0,0,0,0,0,Stable
myeliti,Neurodevelopmmental,1,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,94,0,0,0,0,0,0,0,0,0,Stable
raccoon,Neurodevelopmmental,346,Cluster 2,Cluster 5,0,0,0,0,0,100,0,884,88,6,0,0,0,0,0,0,0,0,Stable
yellow fever vaccin,Neurodevelopmmental,0,Cluster 3,Cluster 6,0,0,0,0,0,100,0,884,88,5,1,0,0,0,0,0,0,0,Stable
microalgal bloom,Neurodevelopmmental,0,Cluster 1,Cluster 7,0,0,0,0,0,100,0,884,25,61,9,0,0,0,0,0,0,0,Stable
bronchiol,Neurodevelopmmental,0,Cluster 1,Cluster 8,0,0,0,0,0,100,0,884,15,35,45,0,0,0,0,0,0,0,Transfer
fatigu,Neurodevelopmmental,3298,Cluster 1,Cluster 9,0,0,0,0,0,100,0,884,28,60,7,0,0,0,0,0,0,0,Stable
orf viru,Neurodevelopmmental,45,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,26,59,10,0,0,0,0,0,0,0,Stable
breast canc,Neurodevelopmmental,0,Cluster 2,Cluster 2,0,0,0,0,0,100,0,884,18,40,37,0,0,0,0,0,0,0,Stable
genetics obes,Neurodevelopmmental,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,18,42,36,0,0,0,0,0,0,0,Stable
chronic wasting diseas,Neurodevelopmmental,285,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,94,1,0,0,0,0,0,0,0,0,Stable
palsi,Neurodevelopmmental,522,Cluster 1,Cluster 2,0,0,0,0,0,100,0,900,15,21,59,0,0,0,0,0,0,0,Transfer
unexplained respiratori,Neurodevelopmmental,0,Cluster 3,Cluster 1,0,0,0,0,0,100,0,884,15,22,58,0,0,0,0,0,0,0,Stable
traumatic brain injuri,Neurodevelopmmental,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,15,29,52,0,0,0,0,0,0,0,Stable
severe acute respiratori,Neurodevelopmmental,0,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,12,59,21,0,0,0,0,0,0,0,Stable
undul,Neurodevelopmmental,0,Cluster 4,Cluster 1,0,0,0,0,0,100,0,884,90,5,0,0,0,0,0,0,0,0,Stable
ehdi,Neurodevelopmmental,4,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,20,35,41,0,0,0,0,0,0,0,Stable
developmental dis,Neurodevelopmmental,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,14,73,11,0,0,0,0,0,0,0,Transfer
Absence of the Septum Pellucidum,Nervous System,0,Cluster 1,Cluster 7,0,0,0,0,0,100,0,884,49,37,9,0,0,0,0,0,0,0,Stable
Acid Lipase Disease,Nervous System,0,Cluster 5,Cluster 1,0,0,0,0,0,100,0,884,17,46,32,0,0,0,0,0,0,0,Stable
Acute Disseminated Encephalomyelitis,Nervous System,0,Cluster 1,Cluster6,0,0,0,0,0,100,0,884,14,20,62,0,0,0,0,0,0,0,Stable
Adrenoleukodystrophy,Nervous System,0,Cluster 2,Cluster 1,0,0,0,0,0,100,0,884,20,39,35,0,0,0,0,0,0,0,Stable
Agenesis of the Corpus Callosum,Nervous System,70,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,8,75,13,0,0,0,0,0,0,0,Stable
Agnosia,Nervous System,21,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,6,14,75,0,0,0,0,0,0,0,Transfer
Aicardi Goutieres Syndrome Disorder,Nervous System,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,14,40,42,0,0,0,0,0,0,0,Stable
Aicardi Syndrome,Nervous System,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,47,44,5,0,0,0,0,0,0,0,Stable
Alexander Disease,Nervous System,2,Cluster 2,Cluster 3,0,0,0,0,0,100,0,763,15,11,45,0,0,0,0,0,0,0,Stable
Alpers Disease,Nervous System,1563,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,16,23,58,0,0,0,0,0,0,0,Stable
ALS Amyotrophic Lateral Sclerosis,Nervous System,576,Cluster 1,Cluster 5,0,0,0,0,0,100,0,884,15,43,38,0,0,0,0,0,0,0,Stable
Alternating Hemiplegia,Nervous System,1004,Cluster 1,Cluster 6,0,0,0,0,0,100,0,884,18,30,48,0,0,0,0,0,0,0,Transfer
Alzheimer s Disease,Nervous System,0,Cluster 2,Cluster 7,0,0,0,0,0,100,0,884,10,84,4,0,0,0,0,0,0,0,Stable
Amyotrophic Lateral Sclerosis ALS,Nervous System,58,Cluster 3,Cluster 8,0,0,0,0,0,100,0,884,10,45,40,0,0,0,0,0,0,0,Stable
Anencephaly,Nervous System,305,Cluster 1,Cluster 9,0,0,0,0,0,100,0,884,10,20,66,0,0,0,0,0,0,0,Stable
Angelman Syndrome,Nervous System,409,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,13,46,36,0,0,0,0,0,0,0,Stable
Antiphospholipid Syndrome,Nervous System,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,21,52,23,0,0,0,0,0,0,0,Stable
